2.448691612144810945e-02	5.751382854004075673e-01	3.741656553398058360e+00	0.50   0.010
2.316041988997436657e-02	5.623526337215961624e-01	3.446677666116694017e+00	0.50   0.050
2.451826890724657926e-02	5.573158461858043200e-01	3.219446116797110236e+00	0.50   0.080
2.312077069507046875e-02	5.545768277725905415e-01	3.164684630438054924e+00	0.50   0.100
2.166515837485581339e-02	5.413666428997450097e-01	2.704014379868184381e+00	0.50   0.200
1.630153038367279650e-02	5.361102009945157842e-01	2.301206614032474285e+00	0.50   0.300
2.037538760941237995e-02	5.318043480489647035e-01	1.976761507522717176e+00	0.50   0.400
2.113858128543080750e-02	5.313306835231704772e-01	1.795329466012197006e+00	0.50   0.500
1.305427703878346904e-02	5.309733360752527664e-01	1.735557673975214543e+00	0.50   0.600
1.548564555379540811e-02	5.310486874129592971e-01	1.603207603207603249e+00	0.50   0.800
1.995277841993016443e-02	5.286811396299477828e-01	1.512281740159810539e+00	0.50   0.900
1.748028599883722639e-02	5.304618162316770968e-01	1.445632798573974975e+00	0.50   1.000
2.489893092393456742e-02	5.719197916980577334e-01	3.544446132806564176e+00	0.70   0.010
2.670049140068117555e-02	5.601167727733632473e-01	3.299503834009923420e+00	0.70   0.050
2.569996552241414836e-02	5.540802229713528426e-01	3.119347109913147786e+00	0.70   0.080
2.492536457096750785e-02	5.487367281932892249e-01	2.995355805243445690e+00	0.70   0.100
2.639230137337588572e-02	5.349744852381550508e-01	2.505601194921583286e+00	0.70   0.200
2.476521665620479151e-02	5.261919028529808973e-01	2.047696879643387646e+00	0.70   0.300
2.306475799204486116e-02	5.207501772267052464e-01	1.704393149664929163e+00	0.70   0.400
2.879550352245006939e-02	5.178461739890325433e-01	1.610468564650059387e+00	0.70   0.500
2.327442585478676704e-02	5.203882228415660505e-01	1.428318844850449354e+00	0.70   0.600
3.151187061625525948e-02	5.276865076988190850e-01	1.262633769322235366e+00	0.70   0.800
2.519662447689254361e-02	5.275854453521144904e-01	1.117856085282795453e+00	0.70   0.900
2.920899926754712966e-02	5.274973537734223283e-01	9.930504214106166128e-01	0.70   1.000
2.562579975302672550e-02	5.694961103760775023e-01	3.512594840667678131e+00	0.90   0.010
2.550040152465733387e-02	5.558277682361585370e-01	3.236159039759940015e+00	0.90   0.050
2.540303253047741794e-02	5.489685655328936376e-01	3.099277978339350259e+00	0.90   0.080
2.596237993342936576e-02	5.469484997915683433e-01	2.930026970332634040e+00	0.90   0.100
2.253486423271999772e-02	5.306233670801789870e-01	2.448952296032099962e+00	0.90   0.200
2.623035293521328720e-02	5.228541960325258087e-01	2.088113542282672874e+00	0.90   0.300
2.536039425850562454e-02	5.084173185225588920e-01	1.610794374762447800e+00	0.90   0.500
3.286621487200930281e-02	5.143632608811116169e-01	1.309088226615520822e+00	0.90   0.600
3.496280139880698218e-02	5.171653848813064780e-01	1.032846022403645314e+00	0.90   0.800
4.141132911980627967e-02	5.199919549543289277e-01	1.091803760282021196e+00	0.90   0.900
4.578036067332355574e-02	5.248065197119968772e-01	8.876918536009444916e-01	0.90   1.000
